id,title,price,sold,condition,assurance,weight,seller,description
42,Buku Panduan Praktis Menguasai Vue. Js,Rp65.000,Terjual 134 Produk,Baru,Opsional,250gr,Omviral Online Shop,"Buku Belajar Pemrograman framework Javascript menggunakan vue.js

Saat ini, ada 3 framework javascript yang paling diminati, yaitu AngularJS, reactJS dan vue.js . dalam buku ini membahas khusus vue.js yang lebih unggul secara kecepatan dan performa dibandingkan framework javascript lainnya. karena ukurannya yang kecil dan simple. namun powerfull. selain itu, package dan plugin sudah banyak include dalam vuew.js. sehingga dapat langsung digunakan tanpa menginstall plugin plugin ataupun external library.

Vue.js dibangun dengan pendekatan approachable yang fokus pada kesederhanaan dan kerapian struktur codingnya - cukup pengetahuan dasar html, css, dan javascript - memudahkan pengguna mempelajarinya dengan cepat. adapun materi vue.js yang dibahas sebagai berikut :

- Dasar-dasar vue.js
- Computed, Methods dan Watcher
- Bermain dengan Form
- Event Handler ( Mouse dan Key Modifiers )
- v-bind (Binding style , clas dan src )
- Filter dan Array
- Power Components dan Passing data dengan Props.
- Vue Canvas dan Vue Animation.
- Kolaborasi Vue.js dengan NodeJS, Laravel dan Mysql.
- Membuat aplikasi Vue.js ( Name Extractor, Todo Application, Simulation Billing Toko Online, Color Changing, Dynamic Pie Chart )

Buku Terbitan Lokomedia Lainnya :
==================================
~ https://www.tokopedia.com/omviralshop/belajar-php-membuat-aplikasi-gps-ala-gojek-cd-2
~ https://www.tokopedia.com/omviralshop/buku-panduan-praktis-menguasai-vue-js
~ https://www.tokopedia.com/omviralshop/analisa-dan-perancangan-sistem-informasi-dengan-codeigniter-laravel
~ https://www.tokopedia.com/omviralshop/buku-codeigniter-vs-laravel-kasus-membuat-website-pencari-kerja
~ https://www.tokopedia.com/omviralshop/menguasai-angular-js-untuk-membuat-website-dinamis
~ https://www.tokopedia.com/omviralshop/web-service-pembayaran-uang-kuliah-online-dengan-php-soap-wsdl

PAKET MURAH DISKON 30% , CEK YA ==> https://www.tokopedia.com/omviralshop/paket-hemat-buku-belajar-php-penerbit-lokomedia-diskon-30"
43,Buku Artificial Intelligence,Rp140.800,Terjual 15 Produk,Baru,Opsional,950gr,Buku ID,"Kategori(Sub): Komputer (Teknik)
ISBN: 978-623-01-0293-6
Penulis: Imam Robandi
Ukuran⁄Halaman: 19x23 cm² ⁄ xxxvi+564 halaman
Edisi⁄Cetakan: I, 1st Published
Tahun Terbit: 2019

Materi buku teks ini ditulis oleh penulis dengan gaya umum, walaupun di beberapa chapter (bab) teras berat, tetapi sangat menarik untuk Anda baca. Setiap chapter mempunyai pendekatan sendiri cara mengungkapkannya, tetapi sebagian besar berbasis pada kecerdasan hidup hewan dalam berkoloni. Ada 16 chapter di sini, yang dimulai di Chapter 1 adalah Kecerdasan koloni binatang dan diakhiri di Chapter 16 dengan Algoritma Pelacakan dari Ikan Hiu (Shark Search Algorithm, SSA) di chapter 15 anda disuguhi Algoritma Optimisasi Serigala Abu-abu (Grey Wolf optimization, GWO) dan semua chapter di buku ini sangat menarik untuk Anda baca."
44,Paket Buku Python Big Data Mining Science for machine learning,Rp86.700,Terjual 33 Produk,Baru,Opsional,600gr,Omviral Online Shop,"Buat kamu yang suka dengan data science dan data mining ada baiknya kalian jangan lewatkan koleksi buku yang satu ini gan . dari pengalaman customer kami buku ini sering sekali dibeli secara bersamaan sehingga kami membuat buku ini menjadi dalam satu paket sehingga para pembeli bisa mendapatkan buku ini dengan potongan harga .

Buku apa yang didapat ketika membeli paket buku ini , berikut adalah daftar bukunya ya gan .

1. Buku data mining teori dan aplikasi rapid miner , Penjelasan buku ini bisa anda lihat detail dengan mengunjungi link berikut ini -->https://www.tokopedia.com/omviralshop/buku-data-mining-teori-dan-aplikasi-rapidminer

2. Buku Fundamental of Python for machine learning , penjelasan buku ini bisa anda lihat detail dengan mengunjungi link beriku tini --> https://www.tokopedia.com/omviralshop/fundamental-of-python-for-machine-learning"
45,Buku Step By Step Menguasai Pemrograman PLC Mitsubishi Q Series,Rp260.500,Terjual 100 Produk,Baru,Ya,660gr,Mosfet Automation,"Buku Step By Step Menguasai Pemrograman PLC Mitsubishi Q Series Dengan Simulator Mesin 3D

* Jilid Softcover
* 300 halaman
* Ukuran A5
* Kertas HVS

HARAP KONFIRMASI TERLEBIH DAHULU SEBELUM CEKOUT

Pembeli akan di invite untuk Join member digroup Whatsapp agar bisa berdiskusi mengenai konten dalam buku ini.

NOTE :
- ORDER DIATAS PUKUL 16.00 WIB, AKAN DIKIRIM HARI BERIKUTNYA (TIDAK TERMASUK HARI MINGGU DAN TANGGAL MERAH)
- MOHON KONFIRMASI PENERIMAAN DAN FEDBACKNYA JIKA BARANG SUDAH DITERIMA
- KONFIRMASI VIA WA O 8 I 2 1 9 5 7 8 8 6 2 JIKA BUKU SUDAH DITERIMA UNTUK JOIN DI WA GROUP MITSUBISHI MEMBER
- MEMBELI BERARTI SETUJU"
46,Buku Panduan Praktis Membangun Web Yang Logis Don't Make Me Think,Rp29.000,Terjual 51 Produk,Baru,Opsional,300gr,stokbukukita,"Buku Don't Make Me Think (Panduan Praktis Membangun Web yang Logis)

Merupakan buku panduan lengkap tentang membuat website yang baik dan benar.
Spesifikasi :
Penerbit : Serambi
Penulis : Steve Krug
Tahun : 2013
Jumlah hlm : 264
Ukuran : 15 x 23 cm
Bahasa : indonesia
CATATAN : CUCI GUDANG!!! KONDISI BUKU SESUAI DI FOTO, MINUS SEDIKIT BERAKARAT DI BAGIAN SAMPING DAN TIDAK LAGI DI SEGEL ATAU BUNGKUS PLASTIK. DALAM BUKU MASIH BERSIH DAN LAYAK UNTUK DI BACA.

Sinopsis :
Steve Krug, Seorang pakar kebergunaan web, menyaring pengalaman dan pengamatannya selama bertahun-tahun
menjadi sejumlah saran yang logis, lugas, dan praktis. sejak terbit pertama kali, buku ini telah menjadi kitab suci bagi
para pekerja WEB. tidak terbayangkan ada orang yang bekerja di bidang pengembangan situs web ( desainer, programer, penulis, penyunting, dan webmaster ) saat ini yang tidak membaca karya klasik don't make me think!

Tunggu apalagi klik Beli sekarng juga! Karena di stock buku kita sedang ada promo
diskon 50%!!

#buku #bukuweb #bukukomputer #bukuinternet #bukupanduan"
47,buku algoritma dan pemrograman dalam bahasa pascal c dan c++,Rp93.000,Terjual 24 Produk,Baru,Opsional,700gr,Jovans Book Store,"Penerbit informatika

Buku di jamin original 100%

Harga normal 120.000

Diskon 20%

Beli banyak lebih murah

Silakan di order:)"
48,Buku Membangun Aplikasi Mobile dengan PWA (Progressive Web App),Rp62.000,Terjual 51 Produk,Baru,Opsional,350gr,Buku ID,"Penulis/Pembuat : Hendra Santoso
Kode Produk : LOKO-183
ISBN : 978-602-62312-0-8
Tahun Terbit : Maret 2019
Jumlah Halaman/Durasi : 272
Bonus : Source Code

Pernahkah Anda melihat icon suatu website / aplikasi web di browser atau smartphone seperti pada gambar di cover belakang buku? Itu adalah salah satu fitur unggulan PWA (Progressive Web App), yaitu Add to Home Screen (A2HS), dimana website Anda dapat ditambahkan dalam bentuk icon di halaman depan browser / smartphone user. Beberapa website lokal sudah banyak yang menerapkan PWA, seperti Kompas, Jalan Tikus, Kumparan, Babe, dan masih banyak lagi.

PWA pertama kali diperkenalkan oleh Google tahun 2015 sebagai sebuah teknologi web modern untuk membuat website yang dapat berlaku seperti sebuah mobile application. Dengan konsep realibility, speed, dan user engagement, Google berusaha memastikan bahwa PWA dapat memberikan user pengalaman seperti aplikasi native yang cepat dan handal.

Dalam buku ini dibahas mulai dari Pengenalan dan Dasar-Dasar PWA, Fitur-Fitur PWA seperti: Web App Manifest, Service Workers, A2HS, Push Notification, Camera, Speech Recognition, Storage, Payment, Background Sync, Touch Gesture, Geolocation, Single Page Application, dll.

Untuk memperdalam materi, disajikan 4 studi kasus pembuatan PWA, yaitu Aplikasi PWA Baca Berita, PWA QR Code Scanner & Generator, PWA Blog Wordpress, dan Modifikasi Website Menjadi PWA."
49,Buku Pemrograman Dasar SMK/MAK Kelas X,Rp50.400,Terjual 39 Produk,Baru,Opsional,338gr,Buku ID,"Kategori(Sub): Komputer (Ilmu Komputer)
ISBN: 978-979-29-6504-9
Penulis: Patwiyanto, S.Kom., Sri Wahyuni S.Kom., Sumari Agus Prasetyo, S.Kom
Ukuran'Halaman: 17.6x25 cm' ' x+182 halaman
Edisi'Cetakan: I, 1st Published
Tahun Terbit: 2018

Pemrograman Dasar SMK/MAK Kelas X"
50,Buku Dasar Pemrograman Python 3 +cd,Rp96.850,Terjual 104 Produk,Baru,Opsional,790gr,Buku ID,"Kategori(Sub): Komputer (Internet)
ISBN: 978-979-29-5810-2
Penulis: Abdul Kadir
Ukuran'Halaman: 20x28 cm' ' xii+344 halaman
Edisi'Cetakan: I, 1st Published
Tahun Terbit: 2018

Buku ini sangat perlu dimiliki dan dibaca oleh siapa saja yang berminat mempelajari pemrograman Python. Dengan menggunakan pendekatan sederhana dan disertai banyak contoh, buku ini membuat pemrograman Python akan menjadi mudah dipelajari dan dikuasai oleh siapa saja.

Materi-materi berikut dibahas di buku ini:
- Cara menginstalasi interpreter Python
- Penggunaan Python secara interaktif dan melalui skrip
- Pembuatan fungsi
- Struktur data berupa list, dicitionary, tuple dan set
- Penanganan eksepsi
- Pengenalan sejumlah pustaka seperti sys, math, time dan pickle
- Pembuatan kelas dan objek
- Penanganan file
- Graphical User Interface (GUI) dengan tkinter"
51,Buku Pemrograman C plus plus - Mudah dan menjadi cepat master C plus,Rp175.000,Terjual 45 Produk,Baru,Opsional,860gr,Toko Buku Komputer BDG,"TOKO BUKU KOMPUTER (TBK)
PENGIRIMAN SETIAP HARI (Termasuk Hari Ahad & Tanggal Merah)

KAKAK BARU PERTAMA KALI BELANJA ONLINE??
Pastikan Kakak belanja di Toko yang terpercaya.

Kenapa orang-orang PUAS membeli di Toko Buku Komputer (TBK)???
1.PENGIRIMAN TIAP HARI (termasuk hari Ahad & tanggal merah). Mohon lihat batas order agar bisa dikirim hari ini.
2.Buku dijamin BARU dan ORIGINAL 100%. Hati hati dengan harga murah! Ada harga, ada kualitas.
3.FAST RESPONSE. Order masuk langsung kami proses, gak pake nanti
4.Packing dijamin RAPI dan AMAN dengan BUBBLE WRAP gratis
5.SIAP PAKAI: buku disampul dulu, dikasih pembatas buku, & stabilo 2 warna (untuk setiap buku)
6.Pelayanan RAMAH, ga pake jutek :)

POKOKNYA PUAS!!!
BIAR BINTANG BICARA

NB: Selama produk ini tampil, berarti READY

Pembahasan;
Pengenalan C+ +
Variabel dan Tipe Data
Operator
Struktur Kontrol
Array
Pointer dan Referensi
Fungsi
Header File dan Preprocessor Directive
Kelas dan Objek
Pewarisan dan Polimorfisme
String

Buku ini berisi panduan untuk mempelajari C+ + secara mudah dan cepat, yang membahas tentang elemen-elemen penting yang perlu dipahami dalam pembuatan program menggunakan C+ +. Pembahasan disajikan dengan gaya tutorial sehingga mudah untuk dipraktikkan dan dipahami konsepnya.

sama seperti C, C+ + juga banyak digunakan untuk keperluan akses perangkat keras, pemrograman yang berkaitan dengan sistem operasi, pengembangan sistem tertanam , pembuatan driver, dynamic linked library atau shared object , dan sebagainya.

Dalam buku ini, Anda juga akan diajak untuk mengenal fitur-fitur baru yang ditambahkan pada C+ +11, C+ +14, dan C+ +17 sehingga Anda dapat menulis kode program C+ + menggunakan sintaks gaya baru. Seluruh kode program yang terdapat di dalam buku ini dikompilasi menggunakan standar C+ +17 dengan kompilator GCC 7.0.1 pada sistem operasi Linux Ubuntu 17.04. Meskipun demikian, Anda tetap dapat mempelajari dan mempraktikkan semua materi dalam buku ini menggunakan Windows."
52,"TERMURAH ORIGINAL Buku Membangun Aplikasi Android, Web dan Web Service",Rp66.900,Terjual 74 Produk,Baru,Opsional,370gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1


Deskripsi Buku Membangun Aplikasi Android, Web dan Web Service - Eko Budi S

Penerbit : Informatika
Pengarang : Eko Budi Setiawan, Angga Try Ramdany
Tahun Terbit : Oktober 2019
Tebal : 262 Halaman
Disertai DVD

AndroidStudio | VS Code Widget dan Object Form | Icon dan Generate APK | Login danLupa Password | CRUD Android dan Web | Web Service JSON | API Postman | Database SQL | PHP Mailer| Hosting dan Konfigurasi Server

Buku ini disusun sebagai referensi bagi pelajar pemula teknologiinformasi yang ingin mengetahui bagaimana caramembuat aplikasi website dan android dengan satu databaseMYSQL yang menggunakan Web Service API sebagaikoneksi antar-aplikasi serta bagaimana aplikasi tersebutdapat digunakan secara Online.

Bukuini berisi konten tahapan dasar untuk membuat aplikasiCRUD (Create, Read, Update, dan Delete) sederhanapada aplikasi Website PHP dan Android yang menggunakandatabase MYSQL, serta koneksi antar- aplikasimenggunakan Web Service API. Buku ini terdiri dari12 BAB dari topik pengenalan, konsep, instalasi tooldevelopment, objek website, widget android, database,web service api, hak akses, proses CRUD websitedan android, icon aplikasi dan generate file api android"
53,Tutorial Membuat Tampilan Aplikasi E-Commerce dengan Android Studio,Rp128.000,Terjual 56 Produk,Baru,Opsional,250gr,Omviral Online Shop,"dalam DVD Tutorial Ini Anda Akan Belajar Bagaimana Membuat Desain Aplikasi Penjualan Mirip Tokopedia Untuk Platform Mobile Android Menggunakan Android Studio.

MATERI
VIDEO TUTORIAL 1
- Salam kenal & Demo Aplikasi
VIDEO TUTORIAL 2
- Pengenalan empty layout: constraintlayout, relativelayout, linearlayout dan scrollview
VIDEO TUTORIAL 3
- Pengenalan basic layout: menggunakan dan membuat menu, mengganti dan menambahkan icon pada aplikasi
VIDEO TUTORIAL 4
- Membuat project baru menggunakan Navigation Drawer Activity
VIDEO TUTORIAL 5
- Menambahkan menu cart dan search menggunakan MaterialSearchView
VIDEO TUTORIAL 6
- Membuat Tab Menu pada beranda aplikasi menggunakan ViewPager
VIDEO TUTORIAL 7
- Menggunakan GridView dan ListView untuk tampilan barang dan pilihan kategori pada beranda aplikasi
VIDEO TUTORIAL 8
- Membuat Activity (halaman) Detail Barang menggunakan ImageSlider dan CardView
VIDEO TUTORIAL 9
- Membuat Dialog (popup) pembelian barang
VIDEO TUTORIAL 10
- Membuat Activity Notifikasi
VIDEO TUTORIAL 11
- Membuat Activity Transaksi: pembelian dan penjualan
VIDEO TUTORIAL 12
- Membuat Activity Detail Transaksi: data alamat dan status histori pengiriman
VIDEO TUTORIAL 13
- Membuat Activity Profil: data pribadi dan penilaian toko
VIDEO TUTORIAL 14
- Membuat Activity Toko menggunakan NestedScrollView
VIDEO TUTORIAL 15
- Membuat Activity Keranjang menggunakan RecycleView
VIDEO TUTORIAL 16
- Menambahkan Delete Item dan SwipeRefresh pada RecycleView Keranjang
VIDEO TUTORIAL 17
- Membuat Activity Jual Barang
VIDEO TUTORIAL 18
- Membuat Activity Login
VIDEO TUTORIAL 19
- Membuat Activity Register
VIDEO TUTORIAL 20
- Membuat Activity Splashscreen

[ INCLUDE ]
Source Code Project
Modul Pdf Instalasi Android Studio
Software Pendukung

Beli paket video komplit belajar android studio baik front end dan backend , harga lebih murah cek disini :
https://www.tokopedia.com/omviralshop/video-belajar-android-studio-php-mysql-membuat-aplikasi-keuangan"
54,Membuat aplikasi android dengan android studio dan kotlin,Rp149.000,Terjual 145 Produk,Baru,Opsional,20gr,kursus android murah,"Versi Revisi Cetakan ke 3 Mei 2020
PROMO harga Normal 199.000
====
Buku + Source Code 3 Aplikasi Android :
-Aplikasi Pariwisata
-Aplikasi Edukasi & Game
-Aplikasi Portal Berita + Database Mysql

Buku ini sangat cocok bagi Anda yang ingin belajar langsung membuat aplikasi android dengan menggunakan android studio dari NOL. Sebab pada buku ini Anda dipandu mulai dari proses pengenalan tools Android Studio dan bahasa pemprograman yang lebih mudah dipahami karena menggunakan bahasa pemprograman kotlin yang kini menjadi first class language (bahasa kelas utama) dalam pembuatan aplikasi android sejak diresmikan oleh Google I/O pada Mei 2017.
Pada buku ini Anda juga akan dipandu dalam proses instalasi tools JDK dan Android Studio serta langkah-langkah praktik membuat langsung tiga aplikasi, diantaranya
*Aplikasi Pariwisata,
*Aplikasi Game dan edukasi pembelajaran, dan
*Aplikasi portal berita yang langsung terkoneksi dengan database dengan menggunakan halaman web service.

Catt :
- Selama iklan ini ada, Bukunya masih ready
- Bagi yg di Jogja bisa COD Langsung di kantor kami Lauwba Techno Indonesia (ketik di google untuk alamatnya)
- Chat kami untuk mendapatkan Source code Aplikasinya, Source Code 3 Aplikasinya :
-Aplikasi Pariwisata
-Aplikasi Edukasi & Game
-*Aplikasi Portal Berita


====
Dapatkan buku ini secara GRATIS dengan mengikuti training dan kursus kami di Lauwba Techno Indonesia, tersedia kelas reguler, private (bisa request jadwal sesuai dengan kebutuhannya) dan kelas in house training dengan pelaksanaan di tempat Anda.

Buku Android
Buku Android Kotlin
Buku Kotlin
Buku Android studio
Kotlin
Android studio

Lauwba Techno Indonesia
Jasa pembuatan aplikasi dan tempat Kursus android jogja, training Android, kursus Android semarang, kursus Android Jakarta"
55,Buku Pemrograman Python Untuk Ilmu Komputer Dan Teknik,Rp39.900,Terjual 55 Produk,Baru,Opsional,279gr,Buku ID,"Kategori(Sub): Komputer (Ilmu Komputer)
ISBN: 978-979-29-6618-3
Penulis: Widodo Budihaarto, SSi, MKom
Ukuran'Halaman: 16x23 cm' ' viii+168 halaman
Edisi'Cetakan: I, 1st Published
Tahun Terbit: 2018

Python merupakan bahasa pemrograman yang paling populer saat ini terutama untuk scientific computing. Bahasa pemrograman Python sangat dibutuhkan oleh para mahasiswa, software developer, akademisi, dan peneliti di bidang Computer Science, Statistik dan Engineering.

Materi yang diberikan merupakan materi terkini dan dapat dijadikan pegangan untuk memulai riset di bidang :
- Pemrograman Python
- Computer dan Machine vision
- Kecerdasan Buatan
- information retrieval dan NLP
- speech recognition dan robot vision."
56,Buku Aplikasi IoT Dengan ARDUINO Dan ANDROID - Penerbit Deepublish ORI,Rp65.000,Terjual 21 Produk,Baru,Ya,200gr,Belajar PHP,"Aplikasi Internet of Things (IoT) dengan ARDUINO dan ANDROID

Penulis : Sigit Wasista, Setiawardhana, Delima Ayu Saraswati & Eko Susanto

Ukuran : xii, 119 hlm, Uk: 14x20 cm
ISBN : 978-623-209-885-5
Cetakan Pertama : Juli 2019

Buku ini diperuntukkan bagi mahasiswa, praktisi dan peneliti yang ingin membangun aplikasi dasar IoT menggunakan perangkat ARDUINO dan ANDROID. Buku ini sangat cocok untuk menyelesaikan tugas harian di perkuliahan, tugas akhir atau skripsi, ataupun penelitian penelitian yang berbasis IoT.
Diharapkan dengan adanya buku ini, mahasiswa, praktisi dan peneliti dapat terbantu secara mandiri untuk menyelesaikan proyeknya."
57,Buku Programming Wireless Untuk Arduino + cd,Rp69.300,Terjual 55 Produk,Baru,Opsional,410gr,Buku ID,"Kategori(Sub): Komputer (Ilmu Komputer)
ISBN: 978-979-29-6599-5
Penulis: Abdul Kadir
Ukuran'Halaman: 19x23 cm' ' viii+232 halaman
Edisi'Cetakan: I, 1st Published
Tahun Terbit: 2018

Buku yang sangat berguna bagi siapa saja yang hendak membuat aneka proyek berbasis Arduino yang melibatkan peranti pendukung komunikasi nirkabel. Buku ini membahas setiap peranti dimulai dari hal yang mendasar. Kemudian, secara bertahap membahas contoh-contoh yang lebih menantang. Dengan begitu, siapa saja dapat dengan mudah mempraktikkan dan memahami materi yang disajikan."
58,TERMURAH ORIGINAL Buku Pengantar Machine Learning - Bedy Purnama,Rp106.300,Terjual 47 Produk,Baru,Opsional,590gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Pengantar Machine Learning Konsep dan Praktikum Dengan Contoh Latihan Berbasis R dan Python
Penerbit : Informatika
Pengarang : Bedy Purnama
Tahun Terbit : Oktober 2019
Tebal : 484 Halaman
Disertai DVD

Bahasan mencakup:
Mengenal Machine Learning
Alat dan Bahan
Algoritma, Data Set, Bahasa Program
Regression dan Classification
Non Linear Model
Clustering
Statistika dan Probabilitas
Algoritma Machine Learning
K-NN dan K-means
Decision Tree dan Random Forest
Q-Learning
Deep Learning

Buku ini merupakan salah satu kontribusi Penulis kepada dunia pendidikan di Indonesia, khususnya di bidang teknik Machine Learning yang saat ini sedang booming. Berbagai konsep dasar
yang terkait dengan Machine Learning, seperti: linear regression, logistic regression, classification, support vector, nave bayes, neural network, clustering, reinforcement learning, q-learning,
deep learning, dikupas secara sederhana namun masih tetap berbobot. Contoh contoh
program dalam bahasa Python atau
ini juga dilengkapi dengan aplikasi-aplikasi serta file-file pendukung yang dapat
dijumpai pada DVD Pendamping.

Beberapa konsep dan persamaan matematika teori
probabilitas, statistika, data science, juga dijelaskan
secara gamblang. Sehingga buku ini cocok
dijadikan sebagai bahan acuan sekaligus bahan
ajar. Di sisi lain, buku ini pun masih cukup pantas
untuk dibaca oleh pemula di bidang Machine
Learning. Setiap bab disajikan dengan mudah
dan dapat dipahami oleh semua kalangan."
59,TERMURAH ORIGINAL Buku Kriptografi Edisi Terbaru - Rinaldi Munir,Rp110.300,Terjual 67 Produk,Baru,Opsional,750gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Pengarang : Rinaldi Munir
Penerbit : Informatika
Tebal : 644 Halaman
Tahun : 2019

Edisi Kedua merupakan edisi baru dari buku sebelumnya yang berjudul sama. disusun bagi siapapun (siswa, mahasiswa, umum) yang ingin mernpelajari teknik-teknik m kriptografi. Kriptografi merupakan kakas yang sangat penting dalam bidang keamanan 3Si.

Pembahasan di dalam buku ini meliputi:
- Pengantar kriptografi
- Landasan matematika untuk kriptografi
- Algoritma Kriptografi Klasik
- Algoritma Kriptografi Modern
- Kriptanilis sederhana
- Kriptografi kunci-publik
- Fungsi hash satu-arah
- Tanda-tangan digital
- Protokol kriptografi
- Pembangkit bilangan acak
- Elliptic Curve Cryptography
- Public Key lnlrastructure (PKI)
- Manajemen kunci
- Steganografi dan watermarking
- Skema pembagian rahasia (secret sharing scheme)
- Kriptografi visual (visual cryptography)
- Enkripsi homornorfik

Materi di dalam buku ini dilengkapi dengan kode program dalam Bahasa C + + yang Mengimplementasikan beberapa algontma. Diharapkan buku ini dapat memberikan pengetahuan kepada pembacanya tentang penggunaan kriptografi untuk keamanan pesan."
60,Buku SCADA Software dengan Wonderware InTouch - Handy Wicaksono,Rp75.000,Terjual 35 Produk,Baru,Opsional,300gr,Learn Automation,"Catatan: buku asli, harga kami jual lebih murah karena mendapat discount untuk penulis buku

Scada Software dengan Wonderware In Touch; Dasar-Dasar Pemrograman
Handy Wicaksono
ISBN : 978-979-756-802-3
Harga : Rp 84.800,00
Halaman : XII+176

Sinopsis :

Buku ini memberikan konsep dasar dari sistem SCADA berbasis PLC (Programmable Logic Controller). Aspek komunikasi data dan Human Machine Interface juga dibahas secara khusus. Namun demikian, pokok bahasan utama pada buku ini adalah penerapan sistem SCADA menggunakan Wonderware InTouch (salah satu SCADA software terpopuler di dunia) dengan penekanan pada: Development Environment; Tagname Dictionary; Script untuk Visualisasi sistem; Trend, Alarm, dan Security; Koneksi PC PLC; Database
Melalui buku ini, diharapkan pembaca dapat memahami dan membuat sendiri SCADA software dasar dengan Wonderware InTouch, serta menerapkannya pada plant yang dikendalikan PLC.
Jika Anda adalah mahasiswa (Teknik Elektro, Teknik Mesin, Teknik Industri, Teknik Informatika), automation engineer, ataupun pemerhati dunia otomasi industri, buku ini akan bermanfaat untuk menambah wawasan dan meningkatkan kompetensi Anda."
61,Buku Javascript : Jalan Pintas Menjadi Master ReactJS + CD tutorial - 2,Rp75.000,Terjual 44 Produk,Baru,Opsional,300gr,Belajar PHP,"[0] cetakan full color , bonus cd
[2] cetakan black and white , cd diganti link source

buku original dari penerbit dengan dua versi ya gan


Penulis/Pembuat : Lukmanul Hakim
Kode Produk : LOKO-182
ISBN : 978-602-62311-9-2
Tahun Terbit : Oktober 2018
Jumlah Halaman/Durasi : 114
Bonus : CD Video Tutorial dan Full Color

Pengen tau caranya bikin Aplikasi Zaman Now? Anda harus kenal dengan ReactJS, sebuah library Javascript untuk membangun User Interface yang dibuat oleh Facebook. Aplikasi yang dibuat ReacJS terlihat super cepat, stabil, responsif, interaktif dan cool.

Banyak perusahaan ternama yang menggunakan React, terutama startup, seperti Gojek, Grab, Traveloka, Tokopedia, Buk4l4p4k, Netflix, BBC, Instagram, Paypal, WhatsApp, Dropbox, Airbnb dan Facebook tentunya.

Buku ini diawali dengan Pengenalan ReactJS, Cara Termudah Instalasi React, Dasar React (Component, Props, State, Event, Router, Transition, JSON), kemudian diterapkan dalam membuat proyek aplikasi nyata, seperti Aplikasi Aktivitas Harian, Aplikasi Homestay dan Single Page Application.

Selain itu, buku disajikan dalam bentuk Langkah demi Langkah disertai Visualisasi Diagram. Penjelasan tiap baris code yang telah disederhanakan sedemikian rupa. Format buku Full Color (semua halaman berwarna yang akan memanjakan mata Anda dalam menikmati pembelajaran React).

Dengan begitu, buku ini sangat praktis dan aplikatif, dirancang untuk 7 jam masa pembelajaran, sehingga Anda dapat menguasai ReactJS dengan cepat. Untuk lebih memudahkan Anda, disertakan pula CD berisi Software, Source Code dan Video Tutorial."
